Date,Timestamp,Open,High,Low,Close,Volume
20190403,06:00:00,1.33109,1.33116,1.33029,1.33051,6381.21001982689
20190403,07:00:00,1.33052,1.33133,1.33024,1.33083,6782.81001091003
20190403,08:00:00,1.33083,1.33144,1.33026,1.33057,6803.12001502514
20190403,09:00:00,1.33057,1.33082,1.32958,1.32985,5039.24000692368
20190403,10:00:00,1.32986,1.33068,1.32965,1.3306,4324.93000090122
20190403,11:00:00,1.33058,1.33136,1.32994,1.33123,4320.11000716686
20190403,12:00:00,1.33121,1.33185,1.33043,1.33182,8738.49001991749
20190403,13:00:00,1.33183,1.33329,1.33151,1.33277,8827.32001852989
20190403,14:00:00,1.33277,1.33392,1.33164,1.33212,10132.2000212669
20190403,15:00:00,1.33211,1.33282,1.33126,1.33148,7162.99001228809
20190403,16:00:00,1.33149,1.33181,1.33096,1.33122,4595.39000952244
20190403,17:00:00,1.33122,1.33264,1.33078,1.33248,5249.83000409603
20190403,18:00:00,1.33251,1.33387,1.33242,1.33387,5270.12000405788
20190403,19:00:00,1.33387,1.33463,1.33361,1.33414,5399.80000162125
20190403,20:00:00,1.33414,1.33476,1.33409,1.33421,2729.72999238968
20190403,21:00:00,1.33421,1.33435,1.33362,1.3338,1222.04999934137
20190403,22:00:00,1.3338,1.33431,1.3338,1.33387,1650.05999960005
20190403,23:00:00,1.33389,1.33449,1.33381,1.33448,1628.82999992371
20190404,00:00:00,1.33447,1.33467,1.3342,1.33433,2497.16000688076
20190404,01:00:00,1.33433,1.33453,1.3342,1.33425,2659.2300093174
20190404,02:00:00,1.33424,1.33508,1.33421,1.33487,2801.56000745296
20190404,03:00:00,1.33487,1.33536,1.3348,1.33492,2222.8100155592
20190404,04:00:00,1.33492,1.33545,1.33464,1.33524,1521.78000867367
20190404,05:00:00,1.33524,1.33554,1.33505,1.33507,1760.03001046181
20190404,06:00:00,1.33507,1.33605,1.33494,1.33515,4259.97001135349
20190404,07:00:00,1.33515,1.33602,1.33467,1.33519,5598.5600206852
20190404,08:00:00,1.33521,1.33616,1.33512,1.33603,4795.82001852989
20190404,09:00:00,1.33604,1.33648,1.33565,1.3361,4191.84001159668
20190404,10:00:00,1.33611,1.3363,1.33492,1.33546,5359.54002690315
