Date,Timestamp,Open,High,Low,Close,Volume
20190401,00:00:00,110.986,111.084,110.96,111.079,8983.06994223595
20190401,01:00:00,111.079,111.181,111.046,111.15,7007.40996003151
20190401,02:00:00,111.15,111.184,111.104,111.124,5788.43997049332
20190401,03:00:00,111.124,111.125,111.044,111.081,5258.64998161793
20190401,04:00:00,111.081,111.081,111.008,111.016,12845.5399699211
20190401,05:00:00,111.016,111.058,110.996,111.041,5557.21998310089
20190401,06:00:00,111.046,111.143,111.023,111.067,10560.6799672842
20190401,07:00:00,111.069,111.114,110.999,111.046,8053.11997640133
20190401,08:00:00,111.046,111.077,111,111.011,7355.32998943329
20190401,09:00:00,111.01,111.037,110.957,110.996,6236.88999986649
20190401,10:00:00,110.996,111.045,110.951,110.954,6388.24999177456
20190401,11:00:00,110.953,111.001,110.947,110.985,4362.23999714851
20190401,12:00:00,110.985,110.999,110.81,110.938,10552.2599824667
20190401,13:00:00,110.938,110.956,110.869,110.928,10539.249976635
20190401,14:00:00,110.943,111.234,110.943,111.195,17186.4499619007
20190401,15:00:00,111.195,111.318,111.181,111.297,8868.54996204376
20190401,16:00:00,111.294,111.442,111.291,111.423,6179.37996792793
20190401,17:00:00,111.423,111.431,111.357,111.378,4307.47997689247
20190401,18:00:00,111.377,111.405,111.352,111.376,2969.17997777462
20190401,19:00:00,111.377,111.381,111.332,111.351,4734.93997275829
20190401,20:00:00,111.351,111.389,111.331,111.343,2998.15998396277
20190401,21:00:00,111.343,111.442,111.313,111.407,3841.5199944973
20190401,22:00:00,111.404,111.407,111.346,111.402,1679.98998885602
20190401,23:00:00,111.404,111.454,111.388,111.449,3044.67998027802
20190402,00:00:00,111.449,111.449,111.32,111.387,7400.86996209621
20190402,01:00:00,111.387,111.396,111.296,111.338,4829.11997616291
20190402,02:00:00,111.339,111.34,111.289,111.334,3878.91999256611
20190402,03:00:00,111.334,111.399,111.319,111.358,4380.58997964859
20190402,04:00:00,111.357,111.401,111.335,111.345,3756.75998842716
20190402,05:00:00,111.345,111.391,111.326,111.341,4509.83999156952
20190402,06:00:00,111.342,111.375,111.285,111.374,5874.95998692513
20190402,07:00:00,111.372,111.42,111.356,111.37,5922.74000072479
20190402,08:00:00,111.37,111.396,111.344,111.39,4051.86000216007
20190402,09:00:00,111.391,111.401,111.308,111.358,5585.90999555588
20190402,10:00:00,111.357,111.38,111.321,111.354,4349.51000988483
20190402,11:00:00,111.356,111.386,111.292,111.365,5528.10000479221
20190402,12:00:00,111.364,111.385,111.315,111.373,8746.08999300003
20190402,13:00:00,111.373,111.401,111.299,111.38,7782.18997240067
20190402,14:00:00,111.382,111.431,111.293,111.303,8452.05999422073
20190402,15:00:00,111.303,111.342,111.248,111.33,8047.45995986462
20190402,16:00:00,111.33,111.388,111.318,111.352,6063.34994912148
20190402,17:00:00,111.352,111.395,111.317,111.358,7054.77993512154
20190402,18:00:00,111.358,111.389,111.333,111.382,4777.21996462345
20190402,19:00:00,111.383,111.396,111.365,111.369,4315.92997682095
20190402,20:00:00,111.369,111.371,111.307,111.31,2605.35998350382
20190402,21:00:00,111.307,111.359,111.3,111.33,8129.07001197338
20190402,22:00:00,111.331,111.348,111.318,111.33,1198.18999403715
20190402,23:00:00,111.33,111.345,111.304,111.308,1790.89998853207
20190403,00:00:00,111.309,111.516,111.208,111.474,12044.0199459791
20190403,01:00:00,111.476,111.529,111.396,111.456,8307.42996788025
20190403,02:00:00,111.456,111.514,111.444,111.495,5781.49997925758
20190403,03:00:00,111.495,111.501,111.459,111.477,5279.54999244213
20190403,04:00:00,111.477,111.5,111.357,111.36,6197.54998373985
20190403,05:00:00,111.363,111.421,111.363,111.385,6060.2899762392
20190403,06:00:00,111.384,111.558,111.384,111.511,9457.529966712
20190403,07:00:00,111.511,111.578,111.492,111.513,11162.9099962711
20190403,08:00:00,111.513,111.566,111.487,111.507,5903.48999130726
20190403,09:00:00,111.506,111.521,111.45,111.469,4975.37998759747
20190403,10:00:00,111.469,111.513,111.446,111.506,2753.97000098228
20190403,11:00:00,111.506,111.536,111.476,111.487,4363.96999120712
20190403,12:00:00,111.487,111.499,111.413,111.458,8224.39998471737
20190403,13:00:00,111.458,111.475,111.38,111.412,8652.54998242855
20190403,14:00:00,111.41,111.489,111.327,111.482,10311.0199781656
20190403,15:00:00,111.481,111.509,111.427,111.481,6213.04997456074
20190403,16:00:00,111.481,111.487,111.427,111.47,3356.47997951508
20190403,17:00:00,111.471,111.501,111.41,111.428,4289.64996671677
20190403,18:00:00,111.425,111.499,111.414,111.46,5204.58996546268
20190403,19:00:00,111.46,111.493,111.428,111.483,6093.609983325
20190403,20:00:00,111.483,111.513,111.475,111.486,2002.08998590708
20190403,21:00:00,111.486,111.49,111.433,111.452,5786.47999376059
20190403,22:00:00,111.454,111.464,111.409,111.464,1280.18000292778
20190403,23:00:00,111.463,111.471,111.39,111.395,3488.67996501923
20190404,00:00:00,111.395,111.521,111.355,111.479,7005.65995883942
20190404,01:00:00,111.479,111.513,111.458,111.488,4503.72998082638
20190404,02:00:00,111.487,111.487,111.402,111.429,4872.67998409271
20190404,03:00:00,111.429,111.43,111.371,111.409,4441.27998399734
20190404,04:00:00,111.41,111.41,111.366,111.404,4010.08000206947
20190404,05:00:00,111.405,111.446,111.395,111.426,6267.46998918056
20190404,06:00:00,111.427,111.432,111.334,111.367,6477.86997485161
20190404,07:00:00,111.368,111.435,111.34,111.354,6827.46997797489
20190404,08:00:00,111.353,111.432,111.34,111.413,5578.68999636173
20190404,09:00:00,111.413,111.435,111.377,111.41,5376.54999530315
20190404,10:00:00,111.41,111.428,111.374,111.401,4197.48999214172
20190404,11:00:00,111.401,111.431,111.396,111.413,4399.09999656677
20190404,12:00:00,111.413,111.505,111.401,111.482,8364.02997004986
20190404,13:00:00,111.481,111.63,111.47,111.573,11600.0299592018
20190404,14:00:00,111.573,111.61,111.526,111.568,8528.57998490334
20190404,15:00:00,111.567,111.584,111.516,111.553,6751.77997303009
20190404,16:00:00,111.553,111.561,111.501,111.547,6591.61995315552
20190404,17:00:00,111.547,111.56,111.507,111.535,5683.43997442722
20190404,18:00:00,111.534,111.6,111.533,111.599,3529.68998074532
20190404,19:00:00,111.598,111.599,111.568,111.586,4217.78996443748
20190404,20:00:00,111.586,111.683,111.584,111.648,2445.50998520851
20190404,21:00:00,111.642,111.673,111.608,111.614,6567.27999401093
20190404,22:00:00,111.615,111.647,111.596,111.635,1935.91999702901
20190404,23:00:00,111.636,111.667,111.632,111.654,3421.31996917725
20190405,00:00:00,111.652,111.801,111.646,111.734,10193.8699563742
20190405,01:00:00,111.733,111.754,111.664,111.679,4281.47998535633
20190405,02:00:00,111.68,111.724,111.672,111.717,3758.95998454094
20190405,03:00:00,111.718,111.735,111.695,111.7,3286.47999703884
20190405,04:00:00,111.702,111.713,111.67,111.698,7629.56001222134
20190405,05:00:00,111.697,111.711,111.668,111.682,2896.51999306679
20190405,06:00:00,111.683,111.721,111.646,111.668,9432.44996762276
20190405,07:00:00,111.667,111.675,111.616,111.672,5519.64000213146
20190405,08:00:00,111.671,111.721,111.669,111.684,4598.9700024128
20190405,09:00:00,111.685,111.719,111.679,111.717,3377.68999361992
20190405,10:00:00,111.717,111.742,111.686,111.723,3525.90998876095
20190405,11:00:00,111.723,111.741,111.677,111.712,3992.02997720242
20190405,12:00:00,111.714,111.822,111.549,111.64,14474.0399701595
20190405,13:00:00,111.641,111.748,111.628,111.718,10565.2699639797
20190405,14:00:00,111.719,111.75,111.64,111.737,8347.63997039199
20190405,15:00:00,111.737,111.789,111.697,111.708,6606.22997546196
20190405,16:00:00,111.708,111.75,111.706,111.732,3208.44998621941
20190405,17:00:00,111.732,111.748,111.705,111.707,2952.21999442577
20190405,18:00:00,111.707,111.715,111.681,111.693,2707.899990201
20190405,19:00:00,111.692,111.714,111.666,111.676,4096.32998013496
20190405,20:00:00,111.677,111.716,111.675,111.688,1878.71999752522
20190407,21:00:00,111.665,111.746,111.647,111.692,997.720005564392
20190407,22:00:00,111.687,111.7,111.676,111.676,3071.11998686939
20190407,23:00:00,111.677,111.73,111.67,111.713,3210.15997076035
20190408,00:00:00,111.713,111.713,111.401,111.505,9775.80994153023
20190408,01:00:00,111.504,111.529,111.469,111.502,5757.22996771336
20190408,02:00:00,111.502,111.504,111.347,111.391,5877.07996952534
20190408,03:00:00,111.39,111.407,111.344,111.404,4607.75998592377
20190408,04:00:00,111.403,111.405,111.348,111.396,3952.67998874187
20190408,05:00:00,111.395,111.428,111.364,111.424,6119.63999593258
20190408,06:00:00,111.426,111.458,111.412,111.442,5895.10997390747
20190408,07:00:00,111.443,111.462,111.425,111.451,6528.80997014046
20190408,08:00:00,111.451,111.499,111.445,111.461,4132.80999958515
20190408,09:00:00,111.46,111.47,111.394,111.411,4175.82998096943
20190408,10:00:00,111.411,111.471,111.407,111.465,4693.21000671387
20190408,11:00:00,111.467,111.477,111.426,111.451,3807.08998811245
20190408,12:00:00,111.452,111.472,111.358,111.358,6395.16997492313
20190408,13:00:00,111.358,111.387,111.283,111.309,9220.19997549057
20190408,14:00:00,111.309,111.422,111.307,111.417,7570.83998906612
20190408,15:00:00,111.416,111.526,111.41,111.473,6845.83997631073
20190408,16:00:00,111.473,111.484,111.437,111.454,2978.63999187946
